Name,ProductGroup,SKU,May,June,July,August,september,Quantity,Price,LEAD TIME,THRESHOLD VALUE,TotalSales,2025-10,Cluster,Deadstock
COLOR BONE TOY,TOYS,PT176,1,4.0,2,3,1,5.0,120.0,14,5,310.0,0,0,1
CACTUS COTTON ROPE,TOYS,PT196,0,2.0,1,0,0,9.0,180.0,14,4,420.0,0,0,1
MOUSE CAT TOY,TOYS,PT197,0,0.0,5,3,0,7.0,98.0,14,5,264.0,0,0,1
TRAP MOUSE TOY,TOYS,PT198,0,0.0,3,0,1,2.0,30.0,14,4,108.0,0,0,1
PET FRISBEE,TOYS,PT199,0,0.0,0,0,0,4.0,60.0,14,3,162.0,0,0,1
CARROT LASER CAT STICK ,TOYS,PT200,0,0.0,1,0,0,0.0,180.0,14,3,396.0,0,0,1
BIOLINE TEA TREE OIL PET SOAP 100G,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0001,2,0.0,3,0,1,6.0,160.0,14,4,380.0,0,0,1
AZU DOG SHAMPOO 1000ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0003,1,0.0,0,0,0,5.0,495.0,5,3,1018.0,0,0,1
AZU DOG SHAMPOO 500ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0004,0,0.0,0,0,1,5.0,320.0,5,3,668.0,0,0,1
BEARING SHAMPOO 150ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0005,1,11.0,4,4,1,6.0,165.0,6,11,418.0,0,0,1
BEARING SHAMPOO 300ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0006,5,13.0,7,2,6,19.0,255.0,6,13,652.0,0,0,1
BEARING SHAMPOO 600ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0007,9,1.0,2,8,4,25.0,380.0,6,11,892.0,0,0,1
FRISKY/CUTECAT ORGANIC MDC SHAMPOO 1000ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0008,1,0.0,1,0,1,9.0,320.0,15,4,702.0,0,0,1
FRISKY/CUTECAT ORGANIC MDC SHAMPOO 100ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0009,0,1.0,4,13,1,29.0,50.0,15,9,244.0,0,0,1
FRISKY ORGANIC MDC SHAMPOO 250ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0010,1,3.0,0,6,4,19.0,80.0,15,7,270.0,0,0,1
FRISKY ORGANIC MDC SHAMPOO 500ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0011,3,1.0,0,2,2,12.0,150.0,15,5,380.0,0,0,1
GOLDEN FUR CONDITIONER,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0012,0,0.0,0,0,0,0.0,90.0,9,3,204.0,0,0,1
PAWS & WHISKERS PET COLOGNE (SWEET FRUITY SCENT) 100ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0013,0,0.0,4,4,0,16.0,130.0,15,5,348.0,0,0,1
GFUR CARE PAWS AND WHISKERS FLEA POWDER,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0014,7,6.0,9,7,4,36.0,130.0,15,10,448.0,0,0,1
G FUR CARE - MADRE DE CACAO ORGANIC BAR SOAP,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0015,10,12.0,5,8,2,18.0,80.0,15,10,320.0,0,0,1
G FUR CARE - PAWS AND WHISKERS - ODOR ELIMINATOR AND DISENFECTANT 500ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0016,0,4.0,4,4,0,5.0,195.0,15,6,466.0,0,0,1
CANIDERM 100ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0017,0,0.0,0,0,0,0.0,0.0,7,3,20.0,0,0,1
CUTECAT ORGANIC SHAMPOO MDC 250ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0018,0,0.0,1,3,3,14.0,80.0,7,5,226.0,0,0,1
CUTECAT ORGANIC SHAMPOO MDC 500ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0019,1,1.0,0,2,0,13.0,150.0,7,4,356.0,0,0,1
FURMAGIC - DOG CONDITIONER 350ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0020,0,0.0,0,0,0,0.0,200.0,5,3,416.0,0,0,1
FURMAGIC - MAGIC SHINE LEAVE-ON CONDITIONING SPRAY PINK (268ml),"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0021,0,0.0,0,0,0,0.0,200.0,8,3,422.0,0,0,1
FURMAGIC DOG SHAMPOO 300ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0022,0,1.0,1,0,1,2.0,250.0,5,4,528.0,0,0,1
FURMAGIC DOG SOAP 108G,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0023,0,0.0,0,0,0,0.0,80.0,5,3,176.0,0,0,1
LORI SOAP 120G,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0024,0,0.0,0,0,0,0.0,82.0,5,3,180.0,0,0,1
LORI SOAP MADRE DE CACAO 120G,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0025,0,0.0,0,0,0,0.0,68.0,5,3,152.0,0,0,1
MADRE DE CACAO HERBAL SOAP PACK,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0026,0,0.0,0,0,0,0.0,10.0,5,3,36.0,0,0,1
