Year,Month,Name,ProductGroup,SKU,Quantity,QuantitySold,Price,LeadTime,Threshold,PredictedThreshold
2025,Jul,SOFT BED WOOL COTTON  MEDIUM,PET BEDS,B23,1,3,380,18,4,13.290133
2025,Aug,SOFT BED WOOL COTTON  MEDIUM,PET BEDS,B23,1,3,380,18,4,13.290133
2025,Sep,SOFT BED WOOL COTTON  MEDIUM,PET BEDS,B23,1,3,380,18,4,13.290133
2025,May,HANGING TENT HAMMOCK  SMALL,PET BEDS,B24,2,0,196,18,3,12.845745
2025,Jun,HANGING TENT HAMMOCK  SMALL,PET BEDS,B24,2,0,196,18,3,12.845745
2025,Jul,HANGING TENT HAMMOCK  SMALL,PET BEDS,B24,2,1,196,18,3,12.845745
2025,Aug,HANGING TENT HAMMOCK  SMALL,PET BEDS,B24,2,0,196,18,3,12.845745
2025,Sep,HANGING TENT HAMMOCK  SMALL,PET BEDS,B24,2,0,196,18,3,12.845745
2025,May,DOUBLE HAMMOCK FRAME WOODEN,PET BEDS,B25,2,0,580,18,3,13.292754
2025,Jun,DOUBLE HAMMOCK FRAME WOODEN,PET BEDS,B25,2,0,580,18,3,13.292754
2025,Jul,DOUBLE HAMMOCK FRAME WOODEN,PET BEDS,B25,2,0,580,18,3,13.292754
2025,Aug,DOUBLE HAMMOCK FRAME WOODEN,PET BEDS,B25,2,2,580,18,3,13.292754
2025,Sep,DOUBLE HAMMOCK FRAME WOODEN,PET BEDS,B25,2,1,580,18,3,13.292754
2025,May,NET FENCE S/M/L,PET BEDS,B26,0,0,250,18,3,13.320528
2025,Jun,NET FENCE S/M/L,PET BEDS,B26,0,0,250,18,3,13.320528
2025,Jul,NET FENCE S/M/L,PET BEDS,B26,0,0,250,18,3,13.320528
2025,Aug,NET FENCE S/M/L,PET BEDS,B26,0,0,250,18,3,13.320528
2025,Sep,NET FENCE S/M/L,PET BEDS,B26,0,0,250,18,3,13.320528
2025,May,CAT HAMMOCK BOWL TYPE FLEECE COTTON  LARGE 45X45CM,PET BEDS,B27,0,0,320,18,3,13.078547
2025,Jun,CAT HAMMOCK BOWL TYPE FLEECE COTTON  LARGE 45X45CM,PET BEDS,B27,0,0,320,18,3,13.078547
