Name,ProductGroup,SKU,May,June,July,August,september,Quantity,Price,LEAD TIME,THRESHOLD VALUE,PredictedThreshold,RestockNeeded
PET CLOTHES STRIPE DRESS ALL SIZE,CLOTHES AND FASHION ACCESSORIES,C48,1,1.0,0,0,0,0.0,290.0,18,3,39.534105534105535,True
PET PLASTIC SHOES - SMALL,CLOTHES AND FASHION ACCESSORIES,C49,0,0.0,0,0,0,3.0,130.0,18,3,68.34362934362935,True
PET PLASTIC SHOES - MEDIUM,CLOTHES AND FASHION ACCESSORIES,C50,1,0.0,0,0,1,2.0,160.0,18,3,57.630201630201626,True
PET PLASTIC SHOES - LARGE,CLOTHES AND FASHION ACCESSORIES,C51,0,0.0,0,0,0,1.0,190.0,18,3,35.14264264264264,True
FAT CAT SHAMPOO 1000ML,CLOTHES AND FASHION ACCESSORIES,C52,1,0.0,2,1,0,2.0,240.0,18,3,54.53024453024453,True
PAMPERED POOCH PUPPY SHAMPOO 1000ML,CLOTHES AND FASHION ACCESSORIES,C53,1,0.0,0,0,0,0.0,240.0,18,3,75.20999570999572,True
PET CLOTHES YELLOW STRIPE POCHACCO,CLOTHES AND FASHION ACCESSORIES,C54,0,0.0,0,0,0,1.0,250.0,18,3,53.05619905619905,True
RECOVERY SUIT - SMALL,CLOTHES AND FASHION ACCESSORIES,C55,0,5.0,0,0,0,5.0,180.0,18,3,73.26190476190476,True
RECOVERY SUIT - MEDIUM,CLOTHES AND FASHION ACCESSORIES,C56,0,1.0,1,0,0,9.0,190.0,18,3,62.204633204633204,True
RECOVERY SUITE - LARGE,CLOTHES AND FASHION ACCESSORIES,C57,0,3.0,1,0,0,7.0,220.0,18,3,42.1036036036036,True
PRINCESS DRESS - SMALL,CLOTHES AND FASHION ACCESSORIES,C58,0,0.0,1,1,0,2.0,260.0,18,3,71.8839553839554,True
PRINCESS DRESS - MEDIUM,CLOTHES AND FASHION ACCESSORIES,C59,0,0.0,2,0,0,2.0,280.0,18,3,75.20999570999572,True
PRINCESS DRESS - LARGE,CLOTHES AND FASHION ACCESSORIES,C60,0,0.0,1,0,0,2.0,290.0,18,3,25.655727155727156,True
PRINCESS DRESS - XL,CLOTHES AND FASHION ACCESSORIES,C61,0,1.0,3,0,0,1.0,320.0,18,3,35.02509652509652,True
RED JUMPER STRIPE FRENCH FRIES,CLOTHES AND FASHION ACCESSORIES,C62,0,0.0,1,0,0,2.0,320.0,18,3,56.0,True
JUMPER STRIPE -MEDIUM,CLOTHES AND FASHION ACCESSORIES,C63,0,2.0,0,0,0,-1.0,220.0,18,3,34.02316602316603,True
JUMPER STRIPE - SMALL,CLOTHES AND FASHION ACCESSORIES,C64,0,0.0,0,0,0,1.0,0.0,18,3,60.95495495495496,True
CANDY COLOR DRESS ALL SIZE,CLOTHES AND FASHION ACCESSORIES,C65,0,0.0,0,0,0,0.0,195.0,18,3,63.15229515229516,True
BARBIE CLOTHES SANDO XS/S,CLOTHES AND FASHION ACCESSORIES,C66,0,0.0,0,0,0,2.0,190.0,18,3,29.39425139425139,True
BARBIE CLOTHES SANDO M/L/XL,CLOTHES AND FASHION ACCESSORIES,C67,0,0.0,0,0,0,4.0,230.0,18,3,70.38524238524238,True
PET RECOVERY SUIT PRINTED - SMALL,CLOTHES AND FASHION ACCESSORIES,C68,0,0.0,0,0,0,5.0,165.0,18,3,54.87945087945088,True
PET RECOVERY SUIT PRINTED - MEDIUM,CLOTHES AND FASHION ACCESSORIES,C69,0,0.0,0,2,0,10.0,195.0,18,3,71.05062205062205,True
PET RECOVERY SUIT PRINTED - LARGE,CLOTHES AND FASHION ACCESSORIES,C70,0,0.0,0,0,0,3.0,220.0,18,3,51.68103818103819,True
PET RECOVERY SUIT PRINTED - XL,CLOTHES AND FASHION ACCESSORIES,C71,0,0.0,0,0,0,5.0,240.0,18,3,49.35971685971686,True
WASHABLE DIAPER ORDINARY - SMALL WDO,CLOTHES AND FASHION ACCESSORIES,C72,0,0.0,0,0,0,4.0,120.0,18,3,68.45881595881596,True
PET EYE GLASSES,CLOTHES AND FASHION ACCESSORIES,C73,0,0.0,0,2,0,2.0,88.0,18,3,31.11347061347061,True
